MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00461,0454/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUIN 2013,2013,OUI,CONSERVATION,
00462,0455/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUILLET 2013,2013,OUI,CONSERVATION,
00463,0456/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AOUT 2013,2013,OUI,CONSERVATION,
00464,0457/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),SEPTEMBRE 2013,2013,OUI,CONSERVATION,
00465,0458/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),OCTOBRE 2013,2013,OUI,CONSERVATION,
00466,0459/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),NOVEMBRE 2013,2013,OUI,CONSERVATION,
00467,0460/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2013,2013,OUI,CONSERVATION,
00468,0461/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER 2013,2013,OUI,CONSERVATION,
00469,0462/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER  2013,2013,OUI,CONSERVATION,
00470,0463/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ ORYX BURKINA,"LIVRAISON, SOTIE GAZ, ORYX, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS  2013,2013,OUI,CONSERVATION,
