reference,cote,auteur,titre,publication,pagination,descripteurs
155AN.0065,155AN.0065,MINISTERE DU COMMERCE DE L'INDUSTRIE ET DE L'ARTISANAT (BF),"Tableau de bord : statistique du commerce, de l'industrie et de l'artisanat 2015",99p + graphiques,,/STATISTIQUE//COMMERCE//ARTISANAT//INDUSTRIE//ENT
156CM.0026,156CM.0026,UCOMPOINT,CATALOGUE: TABLETTES,17P,,/UCOMPOINT// CATALOGUE//CONSOMABLE INFORMATIQUE/
157AN.0066,157AN.0066,L'OPERATEUR DU FASO,L'ANNUAIRE DES PROFESSIONNELS,329P,,/ANNUAIRE// PROFESSION/
158CM.0027,158CM.0027,LINVAR,"STORAGE DIRECT: CHOICE, QUALITY , VALUE SERVICE",2668P,,/QUATALOGUE// MATIRIEL// EQUIPEMENT// MOBILIER DE BUREAU/
159AN.0067,159AN.0067,PRESIDENCE DU FASO,ANNUAIRE DES MEMBRES DES ORDRES BURKINABE ANNEE 2017,159p,,
160CM.0028,160CM.0028,VISION PUB,Commercialisation par l'objet : cadeaux d'affaires,"Ouaga : VISION PUB, 2017",16p,/COMMUNICATION//OBJET
161CM.0029,161CM.0029,CARLO ERBA,Chemicals 2017,"s.l. : DORIT GROUP, 2017",840p.,/MATERIEL MEDICAL//CATALOGUE//LABORATOIRE//EQUIPEMENT/
162AN.0068,162AN.0068,MINISTERE DU COMMERCE DE L'INDUSTRIE ET DE L'ARTISANAT,(BURKINA FASO) Annuaire statistique 2017,"Ouagadougou : MCIA, 2018",92p : ill. en coul. + tableaux,/ANNUAIRE//STATISTIQUE//INDUSTRIE//COMMERCE//ARTI
163CM.0030,163CM.0030,BLUETOOTH,Promotional products and more ...,"Ouagadougou : BLUETOOTH, 2018",306p : ill. en coul.,/CATALOGUE// PROMOTION//MATERIEL//MATERIEL
164CM.0031,164CM.0031,ABDOUL SERVICE INTERNATIONAL,CATALOGUE 2020,47p,,/CATALOGUE//IMMOBILIER//TERRAIN//VENTE/
165CM.0032,165CM.0032,MSA,SAFETY SCOPE : EQUIPEMENTS DE PROTECTION INDIVIDUELLE ET DETECTION DE GAZ.,135p,,/EQUIPEMENT//PROTECTION//DETECTION DE GAZ/
169AN.0071,169AN.0071,AUTORITR DE REGULATION DES  COMMUNICATIONS ELECTRONIQUES,ET DES POSTES ANNUAIRE TELEPHONIQUE BURKINA FASO 2018,58p. ILL EN COUL.,,/ANNUAIRE TELEPHONIQUE// TELEPHONE//COMMUNICATION/
172AN.0074,172AN.0074,ORION,L'OPERATEUR DU FASO: L'ANNUAIRE BURKINABE DES AFFAIRES,248pILL EN COUL.,,/ANNUAIRE PROFESSIONEL//TELEPHONE//COMMUNICATION/
176AU.0019,176AU.0019,SOCIETE NATIONALE BURKINABE D'HYDROCARBURES,LIVRE D'OR: INAUGURATION DU DEPOT D'HYDROCARBURES LIQUIDES DE LA SOCIETE NATIONALE BURKINABE D'HYDROCARBURESA PENI,SANS DE PAGINATION,,/INAUGURATION DEPOT DE PENI// PRODUIT PETROLIER//PREMIER
179RE.0020,179RE.0020,CNLS-IST BURKINA FASO,GUIDE: REPERTOIRE DES ACTEURS DE LA LUTTE CONTRE LE VIH/SIDA ET LES IST: PREMIERE EDITION 2005/2007,95p. ill en coul,,/REPERTOIRE// INFECTION
