ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
798,SORTIES DEPOT BINGO,,"SEPTEMBRE, OCTOBRE, 2001",,"Decade 3, decade 1",,,,,,,,,,,,,,,,,,,,,,,,,
799,SORTIES DEPOT BINGO,,"OCTOBRE, 2001",,"Decade 2, decade 3",,,,,,,,,,,,,,,,,,,,,,,,,
800,SORTIES DEPOT BINGO,,"NOVEMBRE, 2001",,"Decade 1, decade 2",,,,,,,,,,,,,,,,,,,,,,,,,
801,CAISSE N°001 - 023,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,CAISSE N°024 - 044,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,CAISSE N°045 - 059,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,CAISSE N°060 - 081,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,CAISSE N°062 - 104,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,CAISSE N°105 - 122,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,CAISSE N°123 - 141,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,CAISSE N°142 -165,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,CAISSE N°166 -187,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,CAISSE N°188 - 215,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,CAISSE N°216 - 242,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,CAISSE N°243 - 265,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,CAISSE N°266 - 286,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,CAISSE N°287 - 304,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,CAISSE N°305 - 321,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,CAISSE N°322 - 338,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,CAISSE N°339 - 355,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,CAISSE N°356 - 381,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,CAISSE N°382 - 404,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,CAISSE N°405 - 419,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,CAISSE N°420 - 434,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,CAISSE N°435 - 451,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,APPEL D'OFFRE DE CLIMATISEURS SPLITS ET D'UN,,"MARS, 2002",,"CLIMATISEUR, LAND CRUISER, APPEL D'OFFRE, CFAO,",(Dossier d'appel d'offre),,,,,,,,,,,,,,,,,,,,,,,,
824,APPEL D'OFFRE DE MATERIELS INFORMATIQUES,,"AVRIL, 2002",,"APPEL D'OFFRE, MATERIEL INFORMATIQUE, BURKINA",(Dossier d'appel d'offre),,,,,,,,,,,,,,,,,,,,,,,,
825,APPEL D'OFFRE POUR LA FOURNITURE DE MATERIELS,,"AVRIL, 2002",,"APPEL D'OFFRE, MATERIEL INFORMATIQUE, CENATRIN,",(Dossier d'appel d'offre),Dossier CENATRIN écarté,,,,,,,,,,,,,,,,,,,,,,,
826,APPEL D'OFFRE POUR LA FOURNITURE DE MATERIELS,,"AVRIL, 2002",,"APPEL D'OFFRE, MATERIEL INFORMATIQUE, LABEL",(Dossier d'appel d'offre),,,,,,,,,,,,,,,,,,,,,,,,
827,DOSSIER D'ASTREINTE,,1988-1995,,"ASTREINTE, INDEMNITE","(Note de service, Compte rendu, lettre, fiche",,,,,,,,,,,,,,,,,,,,,,,,
828,BULLETIN DE SALAIRE : 13ème mois 1999 à mars 2000,,"TREIZIEME-MARS, 1999-2000",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
829,BULLETIN DE SALAIRE : Avril à juillet 2000,,"AVRIL-JUILLET, 2000",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
830,BULLETIN DE SALAIRE : Juillet à Septembre 2000,,"JUILLET-SEPTEMBRE, 2000",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
831,BULLETIN DE SALAIRE : Novembre à Décembre 2000,,"Novembre-Décembre, 2000",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
832,BULLETIN DE SALAIRE : 13ème mois 2000 à février 2001,,"TREIZIEME-FEVRIER, 2000-2001",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
833,BULLETIN DE SALAIRE :Mars à Mai 2001,,"MARS-MAI, 2001",,"BULLETIN, SALAIRE, PAIE",(Bulletin de paie),,,,,,,,,,,,,,,,,,,,,,,,
834,SORTIES BINGO DECADE 3e et 1er,,"NOVEMBRE-DECEMBRE, 2001",,"SORTIE BINGO, 1er DECADE, 3è DECADE","(BON DE LIVRAISON, FACTURE, FICHE, ETAT",,,,,,,,,,,,,,,,,,,,,,,,
835,SORTIE BINGO DECADE 2 ET 3,,"DECEMBRE, 2001",,"SORTIE BINGO, 2e DECADE, 3e DECADE","(Bon de livraison, fiche, bon d'enlèvement, état",,,,,,,,,,,,,,,,,,,,,,,,
836,ENTREE  BINGO 1er DECADE,,"MARS, 2001",,"ENTREE BINGO, 1er DECADE",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
837,ENTREE BINGO 2e DECADE,,"MARS, 2001",,"ENTREE BINGO, 2e DECADE",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
838,ENTREE BINGO 3e DECADE,,"MARS, 2001",,"ENTREE BINGO, 3e DECADE",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
839,ENTREE BINGO 1er DECADE,,"AVRIL, 2001",,"ENTREE BINGO, 1er DECADE",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
840,ENTREE BINGO 3e DECADE,,"AVRIL, 2001",,"ENTREE BINGO, 3e DECADE",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
841,ENTREE BINGO 1er DECADE,,"MAI, 2001",,"ENTREE BINGO, 1er DECADE, STSL, ORYX-BENIN","(Bon de livraison, Fiche de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
842,ENTREE BINGO 2ème DECADE,,"MAI, 2001",,"ENTREE BINGO, 2e DECADE, ORYX-BENIN, STSL, GESTOCI",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
843,ENTREE BINGO 3ème DECADE,,"MAI, 2001",,"ENTREE BINGO, 3e DECADE, ORYX-BENIN, STSL","(Bon de livraison, fiche de sortie, bon",,,,,,,,,,,,,,,,,,,,,,,,
844,ENTREE BINGO 1er DECADE JUIN 2001,,"JUIN, 2001",,"ENTREE BINGO, 1er DECADE, ORYX-BENIN, STSL","(Bon de livraison, bon d'enlèvement)",,,,,,,,,,,,,,,,,,,,,,,,
845,ENTREE BINGO 2e DECADE,,"Juin, 2001",,"ENTREE BINGO, 2e DECADE, ORYX-BENIN, STSL, GESTOCI","(Bon de livraison, fiche de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
846,ENTREE BINGO 3e DECADE,,"JUIN, 2001",,"ENTREE BINGO, 3e DECADE, ORYX-BENIN, STSL",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
847,ENTREE BINGO 1er DECADE,,"JUILLET, 2001",,"ENTREE BINGO, 1er DECADE, STSL, ORYX-BENIN","(Bon de livraison, fiche de sortie, bon",,,,,,,,,,,,,,,,,,,,,,,,
848,ENTREE BINGO 2e DECADE,,"JUILLET, 2001",,"ENTREE BINGO, 2e DECADE, ORYX-BENIN, STSL",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
849,ENTREE BINGO 3ème DECADE,,"JUILLET, 2001",,"ENTREE BINGO, 3e DECADE, STSL, ORYX-BENIN","(Bon de livraison, fiche de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
850,ENTREE BINGO 1er et 2ème DECADE,,"AOUT, 2001",,"ENTREE BINGO, 1er DECADE, 2e DECADE, ORYX-BENIN,",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
851,ENTREE BINGO 3ème DECADE,,"AOUT, 2001",,"ENTREE BINGO, 3e DECADE, STSL, ORYX-BENIN",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
852,"ENTREE BINGO 1er, 2ème et 3ème DECADE",,"DECEMBRE, 2001",,"ENTREE BINGO, 1er DECADE, 2e DECADE, 3e DECADE,",(Bon de livraison),,,,,,,,,,,,,,,,,,,,,,,,
853,"DIVERS ETATS : DECADES, RELEVE TEMPERATURE DENSITE,",,2001,,"DECADE, MESURE, RELEVE TEMPERATURE, DENSITE","(Compte rendu, relevé)",,,,,,,,,,,,,,,,,,,,,,,,
854,ETATS DECADAIRES,,"JANVIER-MARS, 2001",,DECADE,"(Etat de réception, Etat de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
855,ETATS DECADAIRES,,"AVRIL-JUIN, 2001",,DECADE,"(Etat de reception, etat de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
856,ETATS DECADAIRES,,"JUILLET-SEPTEMBRE, 2001",,DECADE,"(Etat de réception, Etat de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
857,ETATS DECADAIRES,,"OCTOBRE-DECEMBRE, 2001",,DECADE,"(Etat de reception, Etat de sortie)",,,,,,,,,,,,,,,,,,,,,,,,
858,ETATS RECAPITULATIFS DES PRODUITS DE BINGO :,,2000-2001,,"PRODUIT BLANC, BINGO, INVENTAIRE",(Etat recapitulatif),,,,,,,,,,,,,,,,,,,,,,,,
859,"INVENTAIRE 2000, SITUATION STOCK ET RECEPTION",,2000,,"INVENTAIRE, PRODUIT BLANC, BINGO",(Etat recapitulatif),,,,,,,,,,,,,,,,,,,,,,,,
860,ETATS DES REGLEMENTS CLIENTS 1996,,"JANVIER-OCTOBRE, 1996",,"ETAT DE REGLEMENT, MOBIL OIL, TOTAL, BURKINA","(Bordereau de règlement, ordre de virement, facture)",,,,,,,,,,,,,,,,,,,,,,,,
861,ETATS DES REGLEMENTS CLIENTS 1996,,"NOVEMBRE-DECEMBRE, 1996",,"ETAT DE REGLEMENT, MOBIL OIL, TOTAL, BURKINA ET","(Bordereau de règlement, ordre de virement, facture)",,,,,,,,,,,,,,,,,,,,,,,,
862,ETATS DES REGLEMENTS CLIENTS 1998,,1998,,"ETAT DE REGLEMENT, MOBIL OIL, ELF OIL, TOTAL,","(Bordereau de règlement, ordre de virement, facture)",,,,,,,,,,,,,,,,,,,,,,,,
863,ETATS DES REGLEMENTS CLIENTS 1998,,1998,,"ETAT DE REGLEMENT, MOBIL OIL, TOTAL, BURKINA ET","(Bordereau de règlement, ordre de virement, facture)",,,,,,,,,,,,,,,,,,,,,,,,
864,ETATS DES REGLEMENTS CLIENTS 1999,,1999,,"ETAT DE REGLEMENT, MOBIL OIL, TOTAL, STD SODIGAZ,","(Bordereau de règlement, ordre de virement,",,,,,,,,,,,,,,,,,,,,,,,,
865,ETATS DES REGLEMENTS CLIENTS 1999,,1999,,"ETAT DE REGLEMENT, BURKINA ET SHELL, ELF OIL","(Bordereau de règlement, ordre de virement,",,,,,,,,,,,,,,,,,,,,,,,,
866,LES COURS DES DEVISES,,1996-1998,,"DEVISE, DOLLARS US",(Correspondance),,,,,,,,,,,,,,,,,,,,,,,,
867,LES COURS DES DEVISES,,1999,,"DEVISE, DOLLARS US",(Correspondance),,,,,,,,,,,,,,,,,,,,,,,,
868,SITUATION TRESORERIE 1996-1997,,1996-1997,,"TRESORERIE, COMPTE BANCAIRE","(Position de compte, Etat recapitulatif)",,,,,,,,,,,,,,,,,,,,,,,,
869,ACHATS,N°001-100,"JANVIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
870,ACHATS,N° 101-191,"JANVIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
871,ACHATS,N°192-319,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
872,ACHATS,N° 320-434,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
873,ACHATS,N°435-504,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
874,ACHATS,N°505-629,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
875,ACHATS,N°630-730,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
876,ACHATS,N°731-864,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
877,ACHATS,N°865-964,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
878,ACHATS,N°965-1096,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
879,ACHATS,N°1097-1228,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
880,ACHATS,N°1229-1406,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
881,ACHATS,N°1407-1527,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
882,ACHATS,N°1528-1684,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
883,ACHATS,N°1685-1716,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
884,ACHATS,N°1717-1878,"JUILLET, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
885,ACHATS,N°1879-1974,"JUILLET, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
886,ACHATS,N°1975-2107,"AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
887,ACHATS,N°2108-2289,"AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
888,ACHATS,N°2290-2462,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
889,ACHATS,N°2463-2531,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
890,ACHATS,N°2532-2680,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
891,ACHATS,N°2681-2850,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
892,ACHATS,N°2851-2968,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
893,ACHATS,N°2969-3144,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
894,ACHATS,N°3145-3345,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
895,ACHATS,N°3346-3489,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
896,ACHATS,N°3490-3550,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
897,VENTES,N°0001-0085,"JANVIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
898,VENTES,N°0086-0163,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
899,VENTES,N°0164-0283,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
900,VENTES,N°0284-0403,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
901,VENTES,N°0404-467,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
902,VENTES,N°0468-0563,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
903,VENTES,N°0752-0965,"JUILLET, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
904,VENTES,N°1117-1184,"AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
905,VENTES,N°1105-1363,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
906,VENTES,N°1364-1468,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
907,VENTES,N°1469-1621,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
908,VENTES,N°1622-1761,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
909,VENTES,N°1762-1864,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
910,VENTES,N°1865-2020,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
911,VENTES,N°2021-2097,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
912,OPERATIONS DIVERSES,N°0001-0095,"JANVIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
913,OPERATIONS DIVERSES,N°0096-0167,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
914,OPERATIONS DIVERSES,N°0168-0285,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
915,OPERATIONS DIVERSES,N°0286-0443,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
916,OPERATIONS DIVERSES,N°0444-0593,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
917,OPERATIONS DIVERSES,N°0594-0717,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
918,OPERATIONS DIVERSES,N°0718-0853,"MARS, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
919,OPERATIONS DIVERSES,N°0854-0923,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
920,OPERATIONS DIVERSES,N°0924-1046,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
921,OPERATIONS DIVERSES,N°1047-1255,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
922,OPERATIONS DIVERSES,N°1256-1298,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
923,OPERATIONS DIVERSES,N°1299-1459,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
924,OPERATIONS DIVERSES,N°1460-1611,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
925,OPERATIONS DIVERSES,N°1612-1702,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
926,OPERATIONS DIVERSES,N°,"1703-1900, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
927,OPERATIONS DIVERSES,N°1901-1969,"JUILLET, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
928,OPERATIONS DIVERSES,N°1970-2161,"AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
929,OPERATIONS DIVERSES,N°2162-2308,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
930,OPERATIONS DIVERSES,N°2309-2450,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
931,OPERATIONS DIVERSES,N°2451-2626,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
932,OPERATIONS DIVERSES,N°2627-2861,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
933,OPERATIONS DIVERSES,N°2862-2999,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
934,OPERATIONS DIVERSES,N°3000-3074,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
935,OPERATIONS DIVERSES,N°3075-3182,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
936,OPERATIONS DIVERSES,N°3183-3302,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
937,SALAIRE DE JUIN  A AOUT 2001,,"JUIN - AOUT, 2001",,,(BULLETIN DE PAIE),,,,,,,,,,,,,,,,,,,,,,,,
938,SALAIRE DE SEPTEMBRE  A NOVEMBRE 2001,,"SEPTEMBRE - NOVEMBRE, 2001",,,(BULLETIN DE PAIE),,,,,,,,,,,,,,,,,,,,,,,,
939,SALAIRE DE DECEMBRE 2001 A JANVIER 2002,,"DECEMBRE - JANVIER, 2001 - 2002",,,(BULLETIN DE PAIE),,,,,,,,,,,,,,,,,,,,,,,,
940,SALAIRE DE FEVRIER A AVRIL 2002,,"FEVRIER - AVRIL, 2002",,,(BULLETIN DE PAIE),,,,,,,,,,,,,,,,,,,,,,,,
941,VIREMENT SALAIRE DE  AOUT 2000 A JUIN 2001,,2000 - 2001,,,"(ETAT DE SALAIRE, ETAT DE CONGE PAYE)",,,,,,,,,,,,,,,,,,,,,,,,
942,VIREMENTS SALAIRE DE JUILLET 2001 A AVRIL 2002,,2001 - 2002,,,"(ETAT DE SALAIRES, Etat de congé payé)",,,,,,,,,,,,,,,,,,,,,,,,
943,NOTE DE SERVICE ET INFORMATIONS,0015 - 0559,"JANVIER - JUILLET, 2001 - 2002",,"INTERIM, NOTATION, DEPOUILLEMENT D'OFFRE",(BULLETIN DE PAIE),,,,,,,,,,,,,,,,,,,,,,,,
944,LETTRES,0631 - 0562,"AOUT - JUILLET, 2000 - 2002",,"ENGAGEMENT, CONVOCATION, ACCORD DE STAGE",,,,,,,,,,,,,,,,,,,,,,,,,
945,COURRIERS DAF,,1999 - 2001,,"NOTATION, DEPOUILLEMENT D'OFFRE, PLANNING DE CONGES",,,,,,,,,,,,,,,,,,,,,,,,,
946,FAX ET TELEX 1997,,1997 - 2000,,,"(Telex, fax)",,,,,,,,,,,,,,,,,,,,,,,,
947,STAGES PROGRAMMES,,1997-2000,,,(Programme de stage),,,,,,,,,,,,,,,,,,,,,,,,
948,DEMANDE DE STAGE,,2000 - 2001,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
949,DEMANDE DE STAGE,,2001 - 2002,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
950,brouillons 2001,,"2000 - 2002, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
951,COURRIER ARRIVEE 1991-1996,,1991-1996,,,"(Dossier SOBCA, lettre, ordre de mission)",,,,,,,,,,,,,,,,,,,,,,,,
952,LETTRES DU SERVICE MATERIEL,,2000 - 2001,,,"(Courrier arrivée, compte rendu, facture)",,,,,,,,,,,,,,,,,,,,,,,,
953,MARCHES N°3/97/MCIA A N°07/97/MCIA SONABHY,,1997,,,"(Offre de service, lettre, devis)",,,,,,,,,,,,,,,,,,,,,,,,
954,MARCHES N°01/98/MCIA A N°10/98/MCIA SONABHY,,,,,"(Offre de service, lettre, devis)",,,,,,,,,,,,,,,,,,,,,,,,
955,MARCHES N°01/99  A N°07/99 SONABHY,,1999,,,"(Offre de service, lettre, devis)",,,,,,,,,,,,,,,,,,,,,,,,
956,MARCHES N°01/2000 A N°12/2000 SONABHY,,2000,,,"(Offre de service, lettre, devis)",,,,,,,,,,,,,,,,,,,,,,,,
957,MARCHES N°13/2000 A 17/2000 SONABHY,,2000,,,"(Offre de service, lettre, devis)",,,,,,,,,,,,,,,,,,,,,,,,
958,MARCHES EXTENSION SIEGE SONABHY,,1988 - 1992,,,"(Offre de service, lettre, devis, proces verval)",,,,,,,,,,,,,,,,,,,,,,,,
959,LETTRES DE COMMANDE N°01 - 20/97/MCIA SONABHY,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,LETTRES DE COMMANDE N°21 - 43/97/MCIA SONABHY,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,LETTRES DE COMMANDE N°01 - 18/98/MCIA SONABHY,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,LETTRES DE COMMANDE N° 19 - 31/98/MCIA SONABHY,,1998,MANQUE LE N°29,,,,,,,,,,,,,,,,,,,,,,,,,,
963,LETTRES DE COMMANDE N° 01 - 16/99/MCIA SONABHY,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,LETTRES DE COMMANDE N°17 - 39/99/MCIA SONABHY,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,LETTRES DE COMMANDE N°01 - 19/2000/MCIA SONABHY,,2000,"MANQUE 1, 9, 10",,,,,,,,,,,,,,,,,,,,,,,,,,
966,LETTRES DE COMMANDE N°20 - 47/2000/MCIA SONABHY,,2000,MANQUE N°25,,,,,,,,,,,,,,,,,,,,,,,,,,
967,MARCHE N°08 ET 09/96/MCIA SONABHY : STADE SONABHY,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,ACHATS EXTERIEURS,,2000 - 2001,,,(Courrier),,,,,,,,,,,,,,,,,,,,,,,,
969,SERVICE MATERIEL DIVERS 1997,,1996 - 1997,,,"(Procès verbal, compte rendu, lettre, arrêté,",,,,,,,,,,,,,,,,,,,,,,,,
970,DIVERS 1997 - 1998,,1997 - 1999,,,"(Note de service, lettre, ordre de mission)",,,,,,,,,,,,,,,,,,,,,,,,
971,DIVERS 1998,,1997 - 1998,,,"(Note de service, lettre, ordre de mission, procès",,,,,,,,,,,,,,,,,,,,,,,,
972,DIVERS 1999,,1999,,,"(Note de service, lettre, ordre de mission, procès",,,,,,,,,,,,,,,,,,,,,,,,
973,DIVERS 2000,,2000,,,"(Note de service, lettre, ordre de mission, procès",,,,,,,,,,,,,,,,,,,,,,,,
974,DIVERS 2000,,1999 - 2000,,,"(Note de service, lettre, ordre de mission, procès",,,,,,,,,,,,,,,,,,,,,,,,
975,DIVERS 2001,,2000 - 2001,,,"(Note de service, lettre, ordre de mission,",,,,,,,,,,,,,,,,,,,,,,,,
976,CONTRATS 1995,,1992 - 1996,,,"(Contrat, lettre, convention)",,,,,,,,,,,,,,,,,,,,,,,,
977,FICHES INDIVIDUELLES DES IMMOBILISATIONS,N°1095 - 1342,1995 - 1997,,,(Fiche),,,,,,,,,,,,,,,,,,,,,,,,
978,NOTES DE SERVICE 1996,,1996- 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,FICHES DE CONSULTATION,,1999 - 2000,,,(Fiche),,,,,,,,,,,,,,,,,,,,,,,,
980,OPERATIONS DIVERSES,N°3303 - 3429,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
981,OPERATIONS DIVERSES,N°3430 - 3545,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
982,OPERATIONS DIVERSES,N°3546 - 3678,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
983,OPERATIONS DIVERSES,N°3679 - 3847,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
984,OPERATIONS DIVERSES,N°3848 - 3988,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
985,OPERATIONS DIVERSES,N°3989 - 4029,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
986,BIB,,"JANVIER I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
987,BIB,,"JANVIER II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
988,BIB,,"FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
989,BIB,,"MARS I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
990,BIB,,"MARS II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
991,BIB,,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
