ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
1106,ECOBANK,,"DECEMBRE IV, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,ECOBANK,N°0001 - 0082,"JANVIER, FEVRIER, MARS, AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,ECOBANK,N°0083 - 0166,"MAI, JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,ECOBANK,N°0167 - 0226,"JUILLET, AOUT, SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,ECOBANK,N°0227 - 0286,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,ECOBANK,N°0287 - 0372,"NOVEMBRE, DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,SGBB,,"JANVIER , 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,SGBB,,"FEVRIER I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,SGBB,,"FEVRIER II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,SGBB,,"MARS I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,SGBB,,"MARS II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,SGBB,,"MARS III, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,SGBB,,"AVRIL I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,SGBB,,"AVRIL II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,SGBB,,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,SGBB,,"JUIN, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,SGBB,,"JUILLET, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,SGBB,,"AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,SGBB,,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,SGBB,,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,SGBB,N°0001 - 0038,"JANVIER, FEVRIER, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,SGBB,N°0066 - 0113,"AVRIL, MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,SGBB,N°0114 - 0171,"JUIN, JUILLET, AOUT, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,SGBB,N°0172 - 0205,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,SGBB,N°0206 - 0231,"OCTOBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,SGBB,N°0232 - 0252,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,SGBB,N°0253 - 0285,"DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,TGB (TRESORERIE GENERALE DU BURKINA),,"AVRIL, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,TGB (TRESORERIE GENERALE DU BURKINA),,"MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,TGB (TRESORERIE GENERALE DU BURKINA),,"JUIN I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,TGB (TRESORERIE GENERALE DU BURKINA),,"JUIN II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,TGB (TRESORERIE GENERALE DU BURKINA),,"JUILLET I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,TGB (TRESORERIE GENERALE DU BURKINA),,"JUILLET II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,TGB (TRESORERIE GENERALE DU BURKINA),,"AOUT I, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,TGB (TRESORERIE GENERALE DU BURKINA),,"AOUT II, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,TGB (TRESORERIE GENERALE DU BURKINA),,"SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,TGB (TRESORERIE GENERALE DU BURKINA),,"NOVEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,TRESOR,N°0001 - 0041,"JANVIER, FEVRIER, MARS, AVRIL, MAI, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,TRESOR,N°0041 - 0083,"JUIN, JUILLET, AOUT, SEPTEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,TRESOR,N°0084 - 0107,"OCTOBRE, NOVEMBRE, DECEMBRE, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,COURRIER ARRIVEE,,1998,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1147,COURRIER ARRIVEE (suite),,1998,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1148,COURRIER DEPART,,1998,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1149,COURRIER ARRIVEE,,1999,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1150,COURRIER ARRIVEE (suite),,1999,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1151,COURRIER DEPART,,1999,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
1152,COURRIER ARRIVEE I,,2000,,,(Lettre),,,,,,,,,,,,,,,,,,,,,,,,
