date_versement,date_enregistrement,provenance,cote,titre,contenu,analyse,dates_extremes,annee,duree_utilite,sort_final,initial,niveau_description,importance_materielle,ged
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0025/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUIN 1997 A SEPTEMBRE 1998,TRANSMISSION; COURRIER, REGISTRE, JUIN 1997 - SEPTEMBRE 1998,1997; 1998, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0026/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE OCTOBRE 1997 A JUILLET 1998,TRANSMISSION; COURRIER, REGISTRE, OCTOBRE 1997 - JUILLET 1998,1997; 1998, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0027/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JANVIER 1998 A MAI 2005,TRANSMISSION; COURRIER, REGISTRE, JANVIER 1998 - MAI 2005,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0028/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE MARS 1998 A AVRIL 2006,TRANSMISSION; COURRIER, REGISTRE, MARS 1998 - AVRIL 2006,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0029/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUIN 1998 A OCTOBRE 2001,TRANSMISSION; COURRIER, REGISTRE, JUIN 1998 - OCTOBRE 2001,1998; 1999; 2000; 2001, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0030/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE SEPTEMBRE 1998 A JUILLET 2002,TRANSMISSION; COURRIER, REGISTRE, SEPTEMBRE 1998 - JUILLET 2002,1998; 1999; 2000; 2001; 2002, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0031/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE AOUT 1999 A DECEMBRE 2004,TRANSMISSION; COURRIER, REGISTRE, AOUT 1999 - DECEMBRE 2004,1999; 2000; 2001; 2002; 2003; 2004, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0032/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE NOVEMBRE 2001 A AVRIL 2003,TRANSMISSION; COURRIER, REGISTRE, NOVEMBRE 2001 - AVRIL 2003,2001; 2002; 2003, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0033/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE OCTOBRE 2001 A JUIN 2006,TRANSMISSION; COURRIER, REGISTRE, OCTOBRE 2001 A JUIN 2006,2001; 2002; 2003; 2004; 2005; 2006, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0034/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JUILLET 2002 A JUIN 2009,TRANSMISSION; COURRIER, REGISTRE, JUILLET 2002 - JUIN 2009,2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
