ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
00981,1464/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°17/445 DU 21 SEPTEMBRE 2017 : SONABHY ET DOUNI YA SOUGRI DISTRIBUTION,"TRANSPORT, PRODUIT PETROLIER, SONABHY",(CONTRAT),DOCESSEN,2017
00982,1465/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°17/406 DU 07 SEPTEMBRE 2017 + CONTRAT N° 18/00027 DU 01 FEVRIER 2018 + AVENANT N°18/0693 DU 18 JUILLET 2018 + AVENANT N°18/0739 DU 20 AOUT 2018 : SONABHY ET FLEXSY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FLEXSY","(CONTRAT, AVENANT)",DOCESSEN,2017 2018
00983,1466/CJ,"JURIDICTION ET CONTENTIEUX : COMPILATION DE CONTRATS,BPS,STSL,GESTOCI,SONACOP,ORYX,MTTB,TRIGO N,ADDAX BV,SPSM,ADDAX LTD,BURKINA SHELL ET SAFTRANS,SIR,ITM,PSSP 1993,1995,1998-2006","CONTRATUALISATION, PARTENARIAT, SONABHY, PRODUIT PETROLIER, BPS, STSL, GESTOCI, SONACOP, ORYX",(CONTRAT),,199319951998-2006
00984,1467/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS , CONTRAT N°14/0067 DU 09/05/2014 : SONABHY ET E.2 CO","PRODUIT PETROLIER, TRANSPORT, E2CO, SONABHY",(CONTRAT),DOCESSEN,2014
00985,1468/CJ,JURIDITION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°15/0002 DU 05/01/2015 + CONTRAT N°18/0462 DU 25 AVRIL 2018 : SONABHY ET SODIGAZ-APC,"PRODUIT PETROLIER, VENTE, PASSAGE, STOCKAGE, SODIGAZ-APC, SONABHY","(CONTRAT, CORRESPONDANCE)",DOCESSEN,2015 2018
00986,1469/CJ,JURICTION ET CONTENTIEUX : CONVENTION N°26/00/10/04/00/2015/00001 DU 09/01/2015 : SONABHY ET FONDS DE DEVELOPPEMENT D'ELECTRIFICATION,"SONABHY, FONDS DE DEVELOPPEMENT D'ELECTRIFICATION, FACTURATION, REGLEMENTATION","(CONVENTION, FACTURE)",DOCESSEN,2015
00987,1470/CJ,JURICTION ET CONTENTIEUX : CONTRAT DE PRESTATION DE SERVICE N°201514270668 DU 26/01/2015 + CONVENTION DU 24 FEVRIER 2023 : SONABHY ET CHRONOPOST INTERNATIONAL (EMS CHRONOPOST INTERNATIONAL),"CHRONOPOST, EMS CHRONOPOST INTERNATIONAL, SONABHY, PRESTATION, LIVRAISON",(CONTRAT),DOCESSEN,2015 2023
00988,1471/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIER N°15/0259 DU 18-05-2015 : SONABHY ET OKD,"PRODUIT PETROLIER, OKD, SONABHY",(CONTRAT),DOCESSEN,2015
00989,1472/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS; CONTRAT N°19/0405 DU 03 OCTOBRE 2019 : SONABHY ET SIONE ABDOULAYE,"TRANSPORT, SIONE ABDOULAYE, SONABHY, PRODUIT PETROLIER",(CONTRAT),DOCESSEN,2020
00990,1473/CJ,JURIDICTION ET CONTENTIEUX : DIVERS CONTRATS NON SIGNES PAR LES PARTENAIRES,"LIBYA-OIL, BUMIGEB, SOFAS, WEND SOMGBO, SOTRACOF, MEGA ENERGIE, SKY, ETRACIB, OTO, VENTE, TRANSPORT, LOCATION","(CONTRAT, AVENANT, CORRESPONDANCE, CERTIFICAT)",DOCESSEN,2011
00991,1474/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRAVAIL A DUREE DETERMINEE N°12/1261 DU 14-06-2012 : SONABHY ET OUEDRAOGO YACOUBA,"SONABHY, OUVRIER, OUEDRAOGO YACOUBA",(CONTRAT),DOCESSEN,2012
00992,1475/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0011 DU 31-01-18 SONABHY ET TITO BURKINA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TITO BURKINA",(CONTRAT),DOCESSEN,2018
00993,1476/CJ,JURIDICTION ET CONTENTIEUX :TRANSPORT DE PRODUIT PETROLIER:CONTRAT N°18/0057 DU 03-02-18 SONABHY ET STBF,"TRANSPORT, PRODUIT PETROLIER, SONABHY, STBF",(CONTRAT),DOCESSEN,2018
