ID,Cote de rangement,Titre du dossier,Contenu du dossier,Analyse diplomatique,Solution GED,Annee
00501,1013/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0034 DU 20 MARS 2014 : SONABHY ET BANYAMA OIL,"VENTE, PRODUIT PETROLIER, SONABHY, BANYAMA OIL",(CONTRAT),DOCESSEN,2014
00502,1014/CJ,JURIDICTION ET CONTENTIEUX : TRAVAIL A DUREE DETERMINEE ; CONTRAT N°16/331 DU 28 JANVIER 2016 : SONABHY ET ZONGO PHILIPPE,"TRAVAIL, OUVRIER, ZONGO PHILIPPE, SONABHY",(CONTRAT),DOCESSEN,2016
00503,1015/CJ,PROJET DE CONTRAT DE MAINTENANCE DE CLIMATISEURS DU 11 MARS 2014 : SONABHY ET DIACFA HIGH TECH,"MAINTENANCE, CLIMATISEUR, SONABHY, DIACFA HIGH TECH",(CONTRAT),DOCESSEN,2014
00504,1016/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0042 DU 09-04-2014 + CONTRAT N°15/0116 + CONTRAT N°16/0493 DU 21 NOVEMBRE 2016 + AVENANT N°17/114 DU 14 FEVRIER 2017 + AVENANT N°19/0172 DU 17 MAI 2019 + AVENANT N°19/0328 DU 11 JUILLET 2019 + AVENANT N°22/0526 DU 04 OCTOBRE 2022 + AVENANT N°22/0561 DU 26 OCTOBRE 2022 + AVENANT N°23/0181 DU 23 MARS 2023 + AVENANT N°23/0314 DU 16 JUIN 2023 + AVENANT N°23/0373 DU 18 JUILLET 2023 : SONABHY ET SGT/TOURS,"TRANSPORT, PRODUIT PETROLIER, SGT/TOURS, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2016 2017 2019 2022 2023
00505,1017/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°13/145 DU 10 DECEMBRE 2013 + AVENANT N°14/0094 DU 04 JUILLET 2014 : SONABHY ET UNIVERSEL TRANSIT,"TRANSPORT, PRODUIT PETROLIER, UNIVERSEL TRANSIT, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2013-2014
00506,1018/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0022 DU 10 MARS 2014 : SONABHY ET SOTRANZ,"TRANSPORT, PRODUIT PETROLIER, SOTRANZ, SONABHY",(CONTRAT),DOCESSEN,2014
00507,1019/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°15/346 DU 06 OCTOBRE 2015 + CONTRAT N°19/0314 DU 03 JUILLET 2019 + AVENANT N°19/0386 DU 16 SEPTEMBRE 2019 + AVENANT N°21/0389 DU 22 DECEMBRE 2021 + AVENANT N°22/0050 DU 04 FEVRIER 2022 + AVENANT N°23/0508 DU 22 NOVEMBRE 2023 : SONABHY ET BAKOU LOGISTICS,"TRANSPORT, PRODUIT PETROLIER, BAKOU LOGISTICS, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2015 2019 2021 2022 2023
00508,1020/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 12 NOVEMBRE 2007 + AVENANT N°14/0049 DU 09 AVRIL 2014 : SONABHY ET TP-GPL,SONABHY,(CONTRAT),DOCESSEN,2007 2014
00509,1021/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0051 DU 17 AVRIL 2014 : SONABHY ET SOCIETE GENERALE DE TRANSPORT ET DE COMMERCE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE GENERALE DE TRANSPORT ET DE COMMERCE",(CONTRAT),DOCESSEN,2014
00510,1022/CJ,JURIDICTION ET CONTENTIEUX ; CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 05 JUIN 2008 + AVENANT N°14/0056 DU 17 AVRIL 2014 + AVENANT N°14/0075 DU 22 MAI 2014 + CONTRAT N°15/0083 DU 26 FEVRIER 2015 + CONTRAT DE TRANSPORT N°15/352 DU 29 OCTOBRE 2015 + CONTRAT DE TRANSPORT N°18/0506 DU 24 MAI 2018 + CONTRAT N°18/0464 DU 25 AVRIL 2018 + AVENANT N°190451 DU 26 NOVEMBRE 2019 + AVENANT N°20/0129 DU 22 AVRIL 2020 : SONABHY ET SANKARA ABDOULAYE (ENTREPRISE NABONSWENDE),"TRANSPORT, PRODUIT PETROLIER, SONABHY, SANKARA ABDOULAYE, ENTREPRISE NABONSWENDE","(CONTRAT, AVENANT)",DOCESSEN,2008 2014 2015 2018 2019 2020
00511,1023/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0040 DU 09 AVRIL 2014 + CONTRAT DE VENTE N°23/0048 DU 23 JANVIER 2023 + CONTRAT DE VENTE N°23/0074 DU 03 FEVRIER 2023 + CONTRAT ACHAT N°24/0029 DU 15 JANVIER 2024 : SONABHY ET TRANSFORM INTERNATIONAL,"VENTE, PRODUIT PETROLIER, SONABHY, TRANSFORM INTERNATIONAL",(CONTRAT),DOCESSEN,2014 2023 2024
00512,1024/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT DU 30 JANVIER 2007 : SONABHY ET SOGEB.P,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOGEB.P",(CONTRAT),DOCESSEN,2007
00513,1025/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PASSAGE ET DE PRESTATIONS DE SERVICE N°14/0020 DU 26 FEVRIER 2014 + AVENANT N°22/0341 DU 20 JUIN 2022 : SONABHY ET TEMA TANK FARM,"PASSAGE, PRODUIT PETROLIER, PRESTATION DE SERVICE, SONABHY, TEMA TANK FARM","(CONTRAT, AVENANT)",DOCESSEN,2014 2022
00514,1026/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0044 DU 09 AVRIL 2014 + CONTRAT N°15/0057 DU 18 FEVRIER 2015 + AVENANT N°16/016 DU 01 FEVRIER 2016 : SONABHY ET SOCIETE DE TRANSIT GENERAL DU BURKINA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE DE TRANSIT GENERAL DU BURKINA","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2016
00515,1027/CJ,CONTRAT DE PASSAGE ET DE PRESTATIONS DE SERVICE N°14/0041 DU 09 AVRIL 2014 : SONABHY ET TEMA FUEL CO,"PASSAGE, PRODUIT PETROLIER, PRESTATION DE SERVICE, SONABHY, TEMA FUEL CO",(CONTRAT),DOCESSEN,2014
00516,1028/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 20 SEPTEMBRE 2006 + AVENANT N°14/0053 DU 17 AVRIL 2014 + AVENANT N°17/0542 DU 10 NOVEMBRE 2017 + CONTRAT N°18/0356 DU 09 MARS 2018 + AVENANT N°19/0025 DU 28 JANVIER 2019 + AVENANT N°19/0150 DU 17 AVRIL 2019 + AVENANT N°19/445 DU 15 NOVEMBRE 2019 + AVENANT N°19/0450 DU 26 NOVEMBRE 2019 + AVENANT N°20/0332 DU 01 DECEMBRE 2020 + AVENANT N°21/0144 DU 25 JUIN 2021 + AVENANT N°22/0208 DU 03 MAI 2022 + AVENANT N°23/0172 DU 22 MARS 2023 + AVENANT N°24/0275 DU 01 JUILLET 2024 : SONABHY ET SGCT / SGC2T,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SGCT, SGC2T","(CONTRAT, AVENANT)",DOCESSEN,2006 2014 2017 2018 2019 2020 2021 2022 2023 2024
00517,1029/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0066 DU 09 MAI 2014 : SONABHY ET ETABLISSEMENT ROUCHEUX,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ETABLISSEMENT ROUCHEUX",(CONTRAT),DOCESSEN,2014
00518,1030/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0048 DU 09 AVRIL 2014 + AVENANT N°17/0378 DU 01 AOUT 2017 : SONABHY ET ENTREPRISE DE L'ESPOIR,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE DE L'ESPOIR","(CONTRAT, AVENANT)",DOCESSEN,2014 2017
00519,1031/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0067 DU 09 MAI 2014 : SONABHY ET E.2CO,"TRANSPORT, PRODUIT PETROLIER, SONABHY",(CONTRAT),DOCESSEN,2014
00520,1032/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE N°15/0021 DU 06 FEVRIER 2015 + CONTRAT D'ACHAT / VENTE DE JET A1 N°14/0050 DU 15 AVRIL 2014 + CONTRAT N°15/0021 DU 06 FEVRIER 2015 + CONTRAT DE LIVRAISON N°15/0227 DU 23 AVRIL 2015 : SONABHY ET PETROCI INTERNATIONAL,"ACHAT, VENTE, LIVRAISON, PRODUIT PETROLIER, JET A1, SONABHY, PETROCI INTERNATIONAL",(CONTRAT),DOCESSEN,2014 2015
00521,1033/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0047 DU 09 AVRIL 2014 + AVENANT N°14/0091 DU 26 JUIN 2014 : SONABHY ET RALPH NEGOCE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, RALPH NEGOCE","(CONTRAT, AVENANT)",DOCESSEN,09 AVRIL 2014 - 26 JUIN 2014
00522,1034/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0077 DU 22 MAI 2014 + CONTRAT N°15/372 DU 18 NOVEMBRE 2015 + ACTE DE SESSION PARTIELLE DE CONTRAT ET DE NANTISSEMENT DE CREANCES DU 04 MAI 2017 : SONABHY ET SETANA ENERGY LIMITED,"VENTE, PRODUIT PETROLIER, JET A1, SONABHY, SETANA ENERGY LIMITED, CREANCE, NANTISSEMENT","(CONTRAT, ACTE DE CESSION)",DOCESSEN,2014 2015 2017
00523,1035/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°21/0069 DU 15 MARS 2021 + AVENANT N°22/0061 DU 09 FEVRIER 2022 : SONABHY ET ENTREPRISE POGBILA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE POGBILA",(AVENANT),DOCESSEN,2021 2022
00524,1036/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°14/1630 DU 09 JUIN 2014 : SONABHY ET TRAORE DJAMIRA,"SECRETARIAT, TRAVAIL, TRAORE DJAMIRA, SONABHY",(CONTRAT),DOCESSEN,09 JUIN 2014
00525,1037/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0078 DU 23 MAI 2010 + CONTRAT DE PASSAGE N°15/0235 DU 11 MAI 2015 : SONABHY ET CISSCAM,"VENTE, PASSAGE, PRODUIT PETROLIER, SONABHY, CISSCAM",(CONTRAT),DOCESSEN,2010 2015
00526,1038/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0076 DU 22 MAI 2014 + CONTRAT N°17/00587 DU 28 DECEMBRE 2018 : SONABHY ET SODISMAH,"VENTE, PRODUIT PETROLIER, SONABHY, SODISMAH",(CONTRAT),DOCESSEN,22 MAI 2014
00527,1039/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0065 DU 09 MAI 2014 + CONTRAT N°15/0110 DU 12 MARS 2015 : SONABHY ET TRADING INTERNATIONAL BARUCH,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRADING INTERNATIONAL BARUCH",(CONTRAT),DOCESSEN,2014-2015
00528,1040/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N° 16/333 DU 28 JANVIER 2016 : SONABHY ET OUEDRAOGO KAETO,"TRAVAIL, OUVRIER, SONABHY, OUEDRAOGO KAETO",(CONTRAT),DOCESSEN,2016
00529,1041/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°15/0345 DU 06 OCTOBRE 2015 + CONTRAT N°18/0465 DU 25 AVRIL 2018 : SONABHY ET BASM YAM SERVICE GENERAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BASM YAM SERVICE GENERAL",(CONTRAT),DOCESSEN,2015 2018
00530,1042/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°14/2031 DU 11- JUILLET 2014 ET N°14/2407 DU 14 AOUT 2014 : SONABHY ET TRAORE DJAMIRA,"TRAVAIL, SECRETARIAT, SONABHY, TRAORE DJAMIRA",(CONTRAT),DOCESSEN,2014
00531,1043/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0069 DU 09 MAI 2014 + CONTRAT N°15/0281 DU 15 JUILLET 2015 + CONTRAT N°18/0337 DU 23 MARS 2018 + AVENANT N°19/0043 DU 11 FEVRIER 2019 : SONABHY ET COMPAORE HAMIDOU AZIZ,"TRANSPORT, PRODUIT PETROLIER, SONABHY, COMPAORE HAMIDOU AZIZ","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2018 2019
00532,1044/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT DU 31 MAI 2007 + CONTRAT N°18/0202 DU 21 FEVRIER 2018 : SONABHY ET SOTRAHYM,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRAHYM",(CONTRAT),DOCESSEN,2007 2018
00533,1045/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT DU 31 MAI 2007 : SONABHY ET STA-BFF,"TRANSPORT, PRODUIT PETROLIER, SONABHY, STA-BFF",(CONTRAT),DOCESSEN,2007
00534,1046/CJ,JURIDICTION ET CONTENTIEUX ; CONTRAT DE PRESTATION DE SERVICE DU 11 NOVEMBRE 2010 + CONTRAT DE PRESTATION DE SERVICE POST'ECLAIR N°14/0073 DU 22 MAI 2014 + AVENANT N1 DU 31 JANVIER 2022 : SONABHY ET SONAPOST (LA POSTE BURKINA FASO),"PRESTATION DE SERVICE, POST'ECLAIR, SONAPOST, LA POSTE BURKINA FASO, SONABHY",(CONTRAT),DOCESSEN,2010 2014 2015 2022
00535,1047/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°18/0736 DU 17 AOUT 2018 : SONABHY ET EBIF PIECES AUTOMOBILES,"TRANSPORT, PRODUIT PETROLIER, EBIF PIECES AUTOMOBILES, SONABHY",(CONTRAT),DOCESSEN,2018
00536,1048/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°14/0095 DU 04 JUILLET 2014 + CONTRAT DE FOURNITURE DE SUPER DU 01 JUILLET 2015 + CONTRAT N°17/0229 DU 06 JUIN 2017 + CONTRAT DE VENTE N°18/01631 DU 28 MAI 2018 + CONTRAT DU 07 JUIN 2018 + CONTRAT DE VENTE N°19/0086 DU 04 MARS 2019 + CONTRAT DE VENTE N°19/323 DU 09 JUILLET 2019 + AVENANT N°19/0384 DE 2019 + CONTRAT N°19/0434 DU 06 NOVEMBRE 2019 + AVENANT N°0014 DU 21 JANVIER 2020 + AVENANT N°20/0015 DU 21 JANVIER 2020 + CONTRAT DE PRET N°20/0018 DU 21 JANVIER 2020 + AVENANT N°20/0041 DU 11 FEVRIER 2020 + CONTRAT DE VENTE N°20/0060 DU 21 FEVRIER 2020 + AVENANT N°20/0075 DU 05 MARS 2020 + CONTRAT N°20/0100 DU 01 AVRIL 2020 + AVENANT N°20/0099 DU 31 MSARS 2020 + CONTRAT DE VENTE N°20/0144 DU 11 MAI 2020 + AVENANT N°20/0146 DU 15 MAI 2020 + CONTRAT DE VENTE N°20/0194 DU 22 JUIN 2020 + CONTRAT DE VENTE N°20/0240 DU 13 AOUT 2020 + AVENANT N°20/0248 DU 24 AOUT 2020 + CONTRAT DE VENTE N°20/0271 DU 25 SEPTEMBRE 2020 + AVENANT N°20/131 DU 24 AVRIL 2020 + AVENANT N°20/0287 DU 17 JUILLET 2020 + CONTRAT DE VENTE N°20/0287 DU 13 OCTOBRE 2020 + CONTRAT DE VENTE N°20/0288 DU 13 OCTOBRE 2020 + CONTRAT DE VENTE N°20/0296 + AVENANT N°20/0290 DU 23 JUILLET 2020 + AVENANT N°21/0026 DU 28 JANVIER 2021 + AVENANT N°21/0064 DU 10 MARS 2021 + CONTRAT N°21/0039 DU 16 FEVRIER 2021 + CONTRAT N°21/0059 DU 02 MARS 2021 + CONTRAT N°21/0060 02 MARS 2021 + AVENANT N°21/0298 DU 05 OCTOBRE 2021 + CONTRAT N°21/0306 DU 11 OCTOBRE 2021 + CONTRAT N°21/0311 DU 14 OCTOBRE 2021 + AVENANT N°21/0340 DU 08 NOVEMBRE 2021 + CONTRAT N°22/0064 DU 10 FEVRIER 2022 + CONTRAT N°22/0115 DU 15 MARS 2022 + CONTRAT DE VENTE N°22/0148 DU 06 AVRIL 2022 + CONTRAT DE VENTE N°22/0128 DU 18 MARS 2022 + AVENANT N°22/0166 DU 21 AVRIL 2022 + AVENANT N°22/0184 DU 27 AVRIL 2022 + AVENANT N°22/0205 DU 03 MAI 2022 + AVENANT N°22/0220 DU 04 MAI 2022 + CONTRAT DE VENTE N°22/0249 DU 17 MAI 2022 + CONTRAT DE VENTE N°22/0267 DU 19 MAI 2022 + CONTRAT DE VENTE N°22/0310 DU 08 JUIN 2022 + CONTRAT DE VENTE N°22/0517 DU 28 SEPTEMBRE 2022 + CONTRAT DE VENTE N°23/0051 DU 22 FEVRIER 2023 + AVENANT N°23/0121 DU 22 FEVRIER 2023 + AVENANT N°23/0277 DU 22 MAI 2023 + AVENANT N°23/0403 DU 14 AOUT 2023 + CONTRAT DE VENTE N°23/0432 DU 13 SEPTEMBRE 2023 + CONTRAT DE VENTE N°23/0449 DU 11 OCTOBRE 2023 + CONTRAT N°23/0474 DU 30 OCTOBRE 2024 + AVENANT N°23/0522 DU 01 DECEMBRE 2023 + CONTRAT N°24/0031 DU 17 JANVIER 2024 + AVENANT N°24/0019 DU 12 JANVIER 2024 + AVENANT N°24/0051 DU 30 JANVIER 2024 + CONTRAT 24/0125 DU 01 MARS 2024 + AVENANT N°24/0110 DU 29 FEVRIER 2024 + AVENANT N°24/0112 DU 29 FEVRIER 2024 + AVENANT N°24/0174 DU 16 AVRIL 2024 + AVENANT N°24/0175 DU 16 AVRIL 2024 + AVENANT N°24/0217 DU 24 MAI 2024 + CONTRAT ACHAT N°24/0221 DU 27 MAI 2024 + AVENANT N°24/0225 DU 29 MAI 2024 + AVENANT N°24/0226 DU 29 MAI 2024 : SONABHY ET VITOL (VITOL BAHREIN),"VENTE, ACHAT, FOURNITURE, PRODUIT PETROLIER, VITOL, VITOL BAHREIN, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2017 2018 2019 2020 2021 2022 2023 2024
00537,1049/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0100 DU 16 JUILLET 2014 + CONTRAT N°15/0200 DU 13 AVRIL 2015 : SONABHY ET SOCIETE PALINGWENDE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE PALINGWENDE",(CONTRAT),DOCESSEN,2014-2015
00538,1050/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS : CONTRAT N°14/0101 DU 16 JUILLET 2014 + CONTRAT N°15/0150 DU 26 MARS 2015 + CONTRAT N°22/0191 DU 27 AVRIL 2022 : SONABHY ET AMANI TRADING COMPAGNIE,"TRANSPORT, PRODUIT PETROLIER, AMANI TRADING COMPAGNIE, SONABHY",(CONTRAT),DOCESSEN,2014 2015 2022
00539,1051/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0109 DU 30 JUILLET 2014 + CONTRAT N°15/0093 DU 02/03/2015 + CONTRAT N°18/0252 DU 27 FEVRIER 2018 : SONABHY ET KINDA HABIBOU,"TRANSPORT, PRODUIT PETROLIER, KINDA HABIBOU, SONABHY",(CONTRAT),DOCESSEN,2014 2015 2018
00540,1052/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0376 DU 20 AOUT 2019 : SONABHY ET LA GAZELLE (COMPAGNIE DE TRANSPORT NANA),"TRANSPORT, PRODUIT PETROLIER, LA GAZELLE, COMPAGNIE DE TRANSPORT NANA, SONABHY",(CONTRAT),DOCESSEN,2019
00541,1053/CJ,"JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0121 DU 20 AOUT 2014 + CONTRAT N°15/0191 DU 08 AVRIL 2015 + CONTRAT N°18/0544 DU 06 JUIN 2018 + AVENANT N°24/0363 DU 26 JUILLET 2024 : SONABHY ET STMD (SOCIETE DE TRANSPORT MIXTE DERE), OUEDRAOGO HAMIDOU","TRANSPORT, PRODUIT PETROLIER, SONABHY, STMD, SOCIETE DE TRANSPORT MIXTE DERE, OUEDRAOGO HAMIDOU","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2018 2024
00542,1054/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0117 DU 20 AOUT 2014 + CONTRAT N°15/0250 DU 18 MAI 2015 + CONTRAT N°18/0366 DU 13 MARS 2018 : SONABHY ET ETABLISSEMENT RADIS,"TRANSPORT, PRODUIT PETROLIER, ETABLISSEMENT RADIS, SONABHY",(CONTRAT),DOCESSEN,2014 2015 2018
00543,1055/CJ,JURIDICTION ET CONTENTIEUX ; CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0120 DU 20 AOUT 2014 + AVENANT N°15/403 DU 21 DECEMBRE 2015 + CONTRAT N°18/0181 DU 16 FEVRIER 2018 : SONABHY ET SGCS,"TRANSPORT, PRODUIT PETROLIER, SGCS, SONABHY",(CONTRAT),DOCESSEN,2014 2015 2018
00544,1056/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°144/0116 DU 20 AOUT 2014 : SONABHY ET SARIF SERVICE INTERNATIONAL,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SARIF SERVICE INTERNATIONAL",(CONTRAT),DOCESSEN,2014
00545,1057/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N° 14/0119 DU 20 AOUT 2014 + CONTRAT N°15/0062 DU 20 FEVRIER 2015 + AVENANT N°17/0360 DU 26 JUILLET 2017 + CONTRAT N°18/0301 DU 06 MARS 2018 + AVENANT N°19/0041 DU 11 FEVRIER 2019 : SONABHY ET LODOUM ALAIN,"TRANSPORT, PRODUIT PETROLIER, SONABHY, LODOUM ALAIN","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2017 2018 2019
00546,1058/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0130 DU 27 AOUT 2014 + AVENANT N°16/0497 DU 21 NOVEMBRE 2016 : SONABHY ET ETGF,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ETGF",(CONTRAT),DOCESSEN,2014 2016
00547,1059/CJ,JURIDICTION ET CONTENTIEUX : VENTE ET DE TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT DE VENTE DU 13 JUIN 2012 + CONTRAT DE TRANSPORT N°14/129 DU 27 AOUT 2014 : SONABHY ET AVS INTERNATIONAL,"TRANSPORT, VENTE, PRODUIT PETROLIER, SONABHY, AVS INTERNATIONAL",(CONTRAT),DOCESSEN,2012 2014
00548,1060/CJ,"JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0132 DU 28 AOUT 2014 + CONTRAT N°15/0092 DU 02 MARS 2015 + AVENANT N°16/023 DU 19 FEVRIER 2016 + CONTRAT N°18/0281 DU 02 MARS 2018 + AVENANT N°22/0240 DU 16 MAI 2022 : SONABHY ET ESAF, SAWADOGO ABDOULAYE.","TRANSPORT, PRODUIT PETROLIER, SONABHY, ESAF, SAWADOGO ABDOULAYE","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2016 2018 2022
00549,1061/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°14/0131 DU 27 AOUT 2014 + CONTRAT N°15/0067 DU 20 FEVRIER 2015 + AVENANT N°15/0311 DU 19 AOUT 2015 + AVENANT N°15/0340 DU 06 OCTOBRE 2015 + AVENANT N°16/057 DU 04 MARS 2016 + AVENANT N°16/057 DU 04 MARS 2016 + AVENANT N°16/449 DU 10 OCTOBRE 2016 + AVENANT N°17/0537 DU 07 NOVEMBRE 2017 + CONTRAT N°18/0388 DU 16 MARS 2018 + AVENANT N°18/0517 DU 01 JUIN 2018 + AVENANT N°18/0843 DU 15 NOVEMBRE 2018 + AVENANT N°22/0500 DU 23 SEPTEMBRE 2022 + AVENANT N°23/0151 DU 10 MARS 2023 + AVENANT N°23/0383 DU 26 JUILLET 2023 : SONABHY ET FLOURISHING GENERAL INTERNATIONAL TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FLOURISHING GENERAL INTERNATIONAL TRANSPORT","(CONTRAT, AVENANT)",DOCESSEN,2014 2015 2016 2017 2018 2022 2023
00550,1062/CJ,JURIDICTION ET CONTENTIEUX : PROTOCOLE D'ACCORD DE REMBOURSEMENT N°14/0140 DU 19 SEPTEMBRE 2014 + AVENANT (001) N°14/154 DU 10 OCTOBRE 2014 + CONTRAT N°17/0584 DU 28 DECEMBRE 2017 + PROTOCOLE D'ACCORD DE TRANSACTION AMIABLE ET DEFINITIF DU 22 AVRIL 2021 : SONABHY ET SODIS OIL,"ACCORD, REMBOURSEMENT, CREANCE, CABINET D'AVOCATS ALI NEYA, SODIS OIL, SONABHY","(CONTRAT, AVENANT)",DOCESSEN,2014 2017 2021
00551,1063/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°14/2845 DU 25 SEPTEMBRE 2014 + CONTRAT N°15/3659 DU 19 OCTOBRE 2015 + CONTRAT N°15/4548 DU 29 DECEMBRE 2015 : SONABHY ET ZONGO ALI,"SONABHY, TRAVAIL, EMPLISSAGE, GAZ BUTANE, CHARGEMENT, DEPOTAGE, PRODUIT BLANC, ZONGO ALI",(CONTRAT),DOCESSEN,2014 2015
00552,1064/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°14/2846 DU 25 SEPTEMBRE 2014 + CONTRAT N°15/3620 DU 19 OCTOBRE 2015 : SONABHY ET KABORE LASSANE,"SONABHY, EMPLISSAGE, GAZ BUTANE, CHARGEMENT, DEPOTAGE, PRODUIT BLANC, KABORE LASSANE",(CONTRAT),DOCESSEN,2014 2015
00553,1065/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°14/2847 DU 25 SEPTEMBRE 2014 + CONTRAT N°15/3621 DU 19 OCTOBRE 2015 : SONABHY ET NANA PAYTINABA BLAISE,"SONABHY, EMPLISSAGE, GAZ BUTANE, CHARGEMENT, DEPOTAGE, PRODUIT BLANC, NANA PAYTINABA BLAISE",(CONTRAT),DOCESSEN,2014 2015
