cote,auteur,titre,adresse,description_tech,descrip_matiere
BAN.010,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M10J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.011,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M11J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.012,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M12J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.013,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M13J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.014,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M14J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.015,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M15J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.016,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M16J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.017,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M17J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.018,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M18J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.019,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M19J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.020,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M20J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.021,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M21J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.022,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M22J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.023,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M23J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.024,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M24J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.025,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M25J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.026,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M26J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.027,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M27J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.028,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M28J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.029,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M29J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.029,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M29J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.030,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M30J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.031,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M31J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.032,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M32J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.033,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M33J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.034,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M34J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.035,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M35J,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
CDR.042,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU OFFICE PRO 2003,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.043,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 25 AOUT 2005,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.044,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 05 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.045,SONABHY,"DONNEES SUR LA FACTURATION : CD-ROM DU 1er,",,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.046,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 07 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.047,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 20 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.048,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 1er SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.049,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 12 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.050,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 13 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.051,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 22 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.052,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 23 SEPTEMBRE,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.053,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 06 OCTOBRE 2005,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
