MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,OBSERVATIONS,PASSAGE GED,SORT FINAL,CHARGEMENT BLEU
00440,439/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 05 MAI 2022,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00441,440/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 06 MAI 2022,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00442,441/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 07 MAI 2022,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00443,442/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 08 MAI 2022 POUR LIVRER,,,OUI,CONSERVATION,
00040,0042/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 22-26 MAI 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00041,0043/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 27-29 MAI 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00042,0044/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 01-03 JUIN 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00043,0045/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 04-05 JUIN 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00444,443/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 09 MAI 2022,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00445,444/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 10 MAI 2022,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
