MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,OBSERVATIONS,PASSAGE GED,SORT FINAL,CHARGEMENT BLEU
01080,1067/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),SEPTEMBRE 2020,2020,,OUI,DESTRUCTION,
01081,1068/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE 2020,2020,,OUI,DESTRUCTION,
01082,1069/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE 2020,2020,,OUI,DESTRUCTION,
01083,1070/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01084,1071/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER 2021,2020,,OUI,DESTRUCTION,
01085,1072/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),FEVRIER 2021,2020,,OUI,DESTRUCTION,
01086,1073/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),MARS 2021,2020,,OUI,DESTRUCTION,
01087,1074/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),AVRIL 2021,2020,,OUI,DESTRUCTION,
01088,1075/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),MAI 2021,2020,,OUI,DESTRUCTION,
01089,1076/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN 2021,2020,,OUI,DESTRUCTION,
01090,1077/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JUILLET 2021,2020,,OUI,DESTRUCTION,
01091,1078/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),SEPTEMBRE 2019,2020,,OUI,DESTRUCTION,
01092,1079/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, STD-SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE 2019,2020,,OUI,DESTRUCTION,
01093,1080/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE 2019,2020,,OUI,DESTRUCTION,
01094,1081/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01095,1082/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),JUILLET-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01096,1083/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-JUILLET 2020,2020,,OUI,DESTRUCTION,
01097,1084/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-DECEMBRE,2020,,OUI,DESTRUCTION,
01098,1085/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-JUIN 2021,2020,,OUI,DESTRUCTION,
01099,1086/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),JUILLET-NOVEMBRE 2021,2020,,OUI,DESTRUCTION,
01100,1087/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-FEVRIER 2019,2020,,OUI,DESTRUCTION,
01101,1088/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),MARS-MAI 2019,2020,,OUI,DESTRUCTION,
01102,1089/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-JUILLET 2019,2020,,OUI,DESTRUCTION,
01103,1090/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-OCTOBRE 2019,2020,,OUI,DESTRUCTION,
01104,1091/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01105,1092/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-MARS 2020,2020,,OUI,DESTRUCTION,
01106,1093/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),AVRIL-JUILLET 2020,2020,,OUI,DESTRUCTION,
01107,1094/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-OCTOBRE 2020,2020,,OUI,DESTRUCTION,
01108,1095/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01109,1096/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-AVRIL 2021,2020,,OUI,DESTRUCTION,
01110,1097/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),MAI-JUILLET,2020,,OUI,DESTRUCTION,
01111,1098/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-NOVEMBRE 2021,2020,,OUI,DESTRUCTION,
01112,1099/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-FEVRIER 2019,2020,,OUI,DESTRUCTION,
01113,1100/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),MARS-MAI 2019,2020,,OUI,DESTRUCTION,
01114,1101/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-JUILLET 2019,2020,,OUI,DESTRUCTION,
01115,1102/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-SEPTEMBRE 2019,2020,,OUI,DESTRUCTION,
01116,1103/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01117,1104/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),DU 01-07 SEPTEMBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00102,0103/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 14-17 SEPTEMBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00103,0104/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 20-23 SEPTEMBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00104,0105/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU24-29 SEPTEMBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00105,0106/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT",,JANVIER-FEVRIER 2020,2020,,OUI,DESTRUCTION,
01118,1105/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),MARS MAI 2020,2020,,OUI,DESTRUCTION,
01119,1106/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-JUILLET 2020,2020,,OUI,DESTRUCTION,
01120,1107/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-SEPTEMBRE 2020,2020,,OUI,DESTRUCTION,
01121,1108/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE-NOVEMBRE 2020,2020,,OUI,DESTRUCTION,
01122,1109/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-MARS 2021,2020,,OUI,DESTRUCTION,
01123,1110/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANETOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AVRIL-MAI 2021,2020,,OUI,DESTRUCTION,
01124,1111/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-JUILLET 2021,2020,,OUI,DESTRUCTION,
01125,1112/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE PeGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, PeGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01126,1113/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE PeGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, PeGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-SEPTEMBRE 2020,2020,,OUI,DESTRUCTION,
01127,1114/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE PeGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, PeGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01128,1115/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE PeGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, PeGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01129,1116/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT 2021,2020,,OUI,DESTRUCTION,
01130,1117/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),SEPTEMBRE 2021,2020,,OUI,DESTRUCTION,
01131,1118/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE 2021,2020,,OUI,DESTRUCTION,
01132,1119/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANESODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE 2021,2020,,OUI,DESTRUCTION,
01133,1120/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01134,1121/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-SEPTEMBRE 2021,2020,,OUI,DESTRUCTION,
01135,1122/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),OCTOBRE-DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01136,1123/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE-DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01137,1124/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ACCESS-OIL,"LIVRAISON, GAZ BUTANE, SORTIES, ACCESS, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-MAI; JUILLET-DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01138,1125/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO-ENERGY,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),NOVEMBRE-DECEMBRE 2021,2020,,OUI,DESTRUCTION,
01139,1126/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ECO-OIL,"LIVRAISON, GAZ BUTANE, SORTIES, ECO, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01140,1127/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ECO-OIL,"LIVRAISON, GAZ BUTANE, SORTIES, ECO, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01141,1128/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE SOFAGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SOFAGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01142,1129/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE PETROFA,"LIVRAISON, GAZ BUTANE, SORTIES, PETROFA, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01143,1130/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE SONABHY,"LIVRAISON, GAZ BUTANE, SORTIES, SONABHY, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2019,2020,,OUI,DESTRUCTION,
01144,1131/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE SONABHY,"LIVRAISON, GAZ BUTANE, SORTIES, SONABHY, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER-DECEMBRE 2020,2020,,OUI,DESTRUCTION,
01145,1132/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),26 AOUT-02 SEPTEMBRE 2021,2020,,OUI,DESTRUCTION,
01146,1133/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),JANVIER 2022,2020,,OUI,DESTRUCTION,
01147,1134/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),FEVRIER-MARS 2022,2020,,OUI,DESTRUCTION,
01148,1135/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),06-31 JUILLET 2022,2020,,OUI,DESTRUCTION,
01149,1136/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE VIVO,"LIVRAISON, GAZ BUTANE, SORTIES, VIVO, DEPOT DE BINGO",(ETAT DES SORTIES),JUIN-OCTOBRE 2022,2020,,OUI,DESTRUCTION,
01150,1137/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT-NOVEMBRE 2022,2020,,OUI,DESTRUCTION,
01151,1138/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),02 JANVIER- 19 FEVRIER 2023,2020,,OUI,DESTRUCTION,
01152,1139/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),20 FEVRIER-23 MARS 2023,2020,,OUI,DESTRUCTION,
01153,1140/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),07 AVRIL-11 MAI 2023,2020,,OUI,DESTRUCTION,
01154,1141/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),12 MAI-05 JUIN 2023,2020,,OUI,DESTRUCTION,
01155,1142/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),06 JUIN-04 JUILLET 2023,2020,,OUI,DESTRUCTION,
01156,1143/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE STD-SODIGAZ,"LIVRAISON, GAZ BUTANE, SORTIES, SODIGAZ, DEPOT DE BINGO",(ETAT DES SORTIES),AOUT 2023,2020,,OUI,DESTRUCTION,
01157,1144/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),02 JANVIER-31 MARS 2023,2020,,OUI,DESTRUCTION,
01158,1145/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),AVRIL-JUIN 2023,2020,,OUI,DESTRUCTION,
01159,1146/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE TOTAL,"LIVRAISON, GAZ BUTANE, SORTIES, TOTAL, DEPOT DE BINGO",(ETAT DES SORTIES),01 JUILLET-31 AOUT 2023,2020,,OUI,DESTRUCTION,
01160,1147/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),02 JANVIER-02 AVRIL 2023,2020,,OUI,DESTRUCTION,
01161,1148/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO",(ETAT DES SORTIES),04 AVRIL-31 JUILLET 2023,2020,,OUI,DESTRUCTION,
01162,1149/LIV,LIVRAISON DES PRODUITS PETROLIERS : ETAT DES SORTIES GAZ BUTANE ORYX BURKINA,"LIVRAISON, GAZ BUTANE, SORTIES, ORYX, DEPOT DE BINGO","(BON , BORDEREAU)",DU 30 SEPTEMBRE- 05 OCTOBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
00106,0107/LIV,LIVRAISON DES PRODUITS PETROLIERS: BONS D'ENLEVEMENT  PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, ENLEVEMENT, PRODUIT BLANC, PRODUIT PETROLIER , CELLULE COMMERCIALE, DEPOT DE BINGO","(BON , BORDEREAU)",DU 06-08 OCTOBRE 2021,2021,DOCUMENTS CELLULE COMMERCIALE,OUI,CONSERVATION,
